Year,Avg_Temp,Total_Rainfall,Province
2015,5.5608938547486035,1040.9,New Brunswick
2016,6.69915014164306,1048.7,New Brunswick
2017,5.886486486486486,1009.1,New Brunswick
2018,5.888022284122563,1392.0,New Brunswick
2019,5.253351955307263,1318.9,New Brunswick
2020,6.9275,866.5,New Brunswick
2021,6.931481481481482,614.3,New Brunswick
2022,6.844257703081233,1220.3,New Brunswick
2023,7.2005571030640665,1340.7,New Brunswick
2024,7.64375,908.1,New Brunswick
2025,6.30812324929972,937.4,New Brunswick
2015,7.333618233618234,1540.8,Nova Scotia
2016,8.38338192419825,1211.2,Nova Scotia
2017,8.569139465875372,1156.0,Nova Scotia
2018,7.9473529411764705,1370.6,Nova Scotia
2019,7.36991643454039,1459.6,Nova Scotia
2020,8.322625698324023,1147.8,Nova Scotia
2021,8.761647727272727,1288.0,Nova Scotia
2022,8.715954415954416,1444.4,Nova Scotia
2023,8.793854748603351,1604.8,Nova Scotia
2024,8.670140845070422,1096.8,Nova Scotia
2025,8.348158640226629,1089.4,Nova Scotia
2015,6.465732087227415,1284.8,Prince Edward Island
2016,6.783238636363635,1027.0,Prince Edward Island
2017,6.517039106145251,911.8,Prince Edward Island
2018,6.00169014084507,1097.3,Prince Edward Island
2019,5.9438805970149255,1149.3,Prince Edward Island
2020,6.8774373259052926,765.9,Prince Edward Island
2021,7.236490250696379,1163.2,Prince Edward Island
2022,6.9367052023121385,1021.9,Prince Edward Island
2023,7.023268698060942,1164.3,Prince Edward Island
2024,7.637709497206704,913.3000000000001,Prince Edward Island
2025,6.8629213483146065,916.7,Prince Edward Island
